epoch,badger,bird,bobcat,cat,cow,coyote,deer,dog,fox,insect,lizard,mountain_lion,opossum,pig,rabbit,raccoon,rodent,skunk,squirrel
15,0.375,0.0,0.2222222222222222,0.0,0.5,0.0,0.5,0.4444444444444444,0.16666666666666666,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.4,0.8333333333333334,0.8571428571428571
16,0.375,0.0,0.2222222222222222,0.0,0.6666666666666666,0.2,0.375,0.4444444444444444,0.3333333333333333,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.2,0.8333333333333334,0.8571428571428571
17,0.375,0.0,0.3333333333333333,0.0,0.5,0.2,0.625,0.4444444444444444,0.5,0.5,1.0,0.0,0.75,0.0,0.0,0.0,0.2,0.8333333333333334,0.8571428571428571
18,0.5,0.0,0.3333333333333333,0.0,0.5,0.2,0.625,0.5555555555555556,0.3333333333333333,0.5,1.0,0.0,0.75,0.0,0.0,0.0,0.6,0.8333333333333334,0.8571428571428571
19,0.375,0.0,0.4444444444444444,0.0,0.5,0.2,0.75,0.4444444444444444,0.16666666666666666,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.6,0.8333333333333334,0.8571428571428571
20,0.375,0.5,0.4444444444444444,0.0,0.5,0.4,0.625,0.5555555555555556,0.16666666666666666,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.8333333333333334,0.8571428571428571
21,0.375,0.5,0.4444444444444444,0.0,0.5,0.4,0.625,0.5555555555555556,0.16666666666666666,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.6,0.8333333333333334,0.8571428571428571
22,0.375,0.0,0.4444444444444444,0.0,0.5,0.2,0.625,0.6666666666666666,0.16666666666666666,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.6,0.8333333333333334,0.8571428571428571
23,0.375,0.0,0.4444444444444444,0.0,0.5,0.4,0.625,0.6666666666666666,0.3333333333333333,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.6,0.8333333333333334,0.5714285714285714
24,0.375,0.5,0.4444444444444444,0.0,0.5,0.6,0.625,0.6666666666666666,0.3333333333333333,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.6,0.8333333333333334,0.8571428571428571
25,0.375,0.5,0.4444444444444444,0.0,0.5,0.6,0.625,0.6666666666666666,0.3333333333333333,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.6,0.8333333333333334,0.8571428571428571
26,0.375,0.0,0.4444444444444444,0.0,0.5,0.6,0.5,0.5555555555555556,0.3333333333333333,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.6,0.8333333333333334,0.8571428571428571
27,0.375,0.0,0.4444444444444444,0.0,0.5,0.6,0.5,0.6666666666666666,0.16666666666666666,0.5,1.0,0.0,1.0,0.0,0.0,0.25,0.6,0.8333333333333334,0.8571428571428571
28,0.375,0.0,0.4444444444444444,0.0,0.5,0.4,0.5,0.6666666666666666,0.16666666666666666,0.5,1.0,0.0,0.75,0.0,0.0,0.25,0.6,0.8333333333333334,0.7142857142857143
29,0.375,0.5,0.4444444444444444,0.16666666666666666,0.5,0.4,0.75,0.5555555555555556,0.16666666666666666,0.5,0.0,0.0,1.0,0.0,0.0,0.25,0.6,0.8333333333333334,0.8571428571428571
30,0.375,0.5,0.4444444444444444,0.16666666666666666,0.5,0.4,0.5,0.7777777777777778,0.16666666666666666,0.5,0.0,0.0,0.75,0.0,0.0,0.25,0.6,0.8333333333333334,0.8571428571428571
31,0.5,0.5,0.4444444444444444,0.0,0.5,0.6,0.5,0.5555555555555556,0.16666666666666666,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.8,0.8333333333333334,0.8571428571428571
